"",0.0
A,2.6020599913279625
[32mby,2.6020599913279625
[34mAnd,2.6020599913279625
[35mDeep,2.6020599913279625
[36mIf,2.6020599913279625
$,55.22471989593555
$100,4.851937464544562
$12,2.6020599913279625
$23,2.6020599913279625
$25000,2.6020599913279625
$300,2.6020599913279625
$495,9.703874929089125
$50,2.6020599913279625
$6,2.6020599913279625
$7500000,2.6020599913279625
$90,2.6020599913279625
$appearances,2.6020599913279625
0,40.0
00,2.6020599913279625
001149,2.6020599913279625
0100,6.903089986991944
013423TAN102psuvmpsuedu,2.6020599913279625
015157,2.6020599913279625
020546,2.6020599913279625
025129,2.6020599913279625
032506,2.6020599913279625
034529887X,4.851937464544562
041238,2.6020599913279625
043259,2.6020599913279625
044918,2.6020599913279625
045438,2.6020599913279625
05,12.129843661361406
0500,4.851937464544562
051018,4.851937464544562
0511211216,4.851937464544562
052315,2.6020599913279625
063830,2.6020599913279625
0671638106,2.6020599913279625
067164260X,2.6020599913279625
070633,2.6020599913279625
071,24.25968732272281
0800,2.6020599913279625
080182494X,4.851937464544562
0801834074,4.851937464544562
081614,2.6020599913279625
083107,2.6020599913279625
0877226423,4.851937464544562
0877227675,4.851937464544562
0908,4.851937464544562
0910309264,4.851937464544562
0915179415,2.6020599913279625
091517961X,2.6020599913279625
0930,2.6020599913279625
0RL,2.6020599913279625
1,110.37494375383619
10,13.22471989593555
100,17.12780988292749
1000,4.851937464544562
10000,2.6020599913279625
1000000,20.70926996097583
10000?,2.6020599913279625
100039,2.6020599913279625
100111,2.6020599913279625
100?,2.6020599913279625
101330,2.6020599913279625
10161173,2.6020599913279625
103,2.6020599913279625
103345,2.6020599913279625
1034,2.6020599913279625
1034],2.6020599913279625
104819,2.6020599913279625
10598,2.6020599913279625
10701080,2.6020599913279625
10th,2.6020599913279625
11,22.83707984390332
110,7.8061799739838875
111113,2.6020599913279625
111213],2.6020599913279625
111],2.6020599913279625
112430,4.851937464544562
114117,2.6020599913279625
114127buedu,8.8164799306237
114133buedu,2.6020599913279625
114140buedu,2.6020599913279625
114320buedu,2.6020599913279625
1144,2.6020599913279625
114525buedu,2.6020599913279625
114902buedu,2.6020599913279625
115256buedu,2.6020599913279625
115287buedu,2.6020599913279625
115288buedu,6.903089986991944
115290buedu,4.851937464544562
115437buedu,4.851937464544562
115468buedu,2.6020599913279625
115561buedu,2.6020599913279625
115565buedu,8.8164799306237
115571buedu,2.6020599913279625
115621buedu,2.6020599913279625
115670buedu,4.851937464544562
115686buedu,2.6020599913279625
115687buedu,2.6020599913279625
115694buedu,8.8164799306237
115793buedu,2.6020599913279625
